name,domain,year founded,industry
ibm,ibm.com,1911,information technology and services
tata consultancy services,tcs.com,1968,information technology and services
accenture,accenture.com,1989,information technology and services
us army,goarmy.com,1800,military
ey,ey.com,1989,accounting
hewlett-packard,hpe.com,1939,information technology and services
cognizant technology solutions,cognizant.com,1994,information technology and services
walmart,walmartcareers.com,1962,retail
microsoft,microsoft.com,1975,computer software
at&t,att.com,1876,telecommunications
united states air force,airforce.com,1947,defense & space
pwc,pwc.com,1998,accounting
wells fargo,wellsfargo.com,,financial services
infosys,infosys.com,1981,information technology and services
deloitte,deloitte.com,1900,management consulting
citi,citigroup.com,1812,financial services
bank of america,bankofamerica.com,1968,banking
jpmorgan chase & co.,jpmorganchase.com,1823,financial services
us navy,navy.com,,military
amazon,amazon.com,1994,internet
apple,apple.com,1976,consumer electronics
siemens,siemens.com,1847,electrical/electronic manufacturing
oracle,oracle.com,1977,information technology and services
nokia,nokia.com,1865,telecommunications
education nationale,education.gouv.fr,,public policy
capgemini,capgemini.com,1967,information technology and services
wipro technologies,wipro.com,1945,information technology and services
hsbc,hsbc.com,1865,financial services
google,google.com,1998,internet
united states postal service,usps.com,,government administration
mcdonald's corporation,aboutmcdonalds.com,1955,restaurants
ericsson,ericsson.com,,information technology and services
nhs,,1948,hospital & health care
boeing,boeing.com,1916,aviation & aerospace
vodafone,vodafone.com,1982,telecommunications
kaiser permanente,kaiserpermanente.org,1945,hospital & health care
ford motor company,ford.com,1903,automotive
intel corporation,intel.com,1968,semiconductors
department of veterans affairs,va.gov,1930,government administration
cisco,cisco.com,1984,computer networking
general motors,gm.com,,automotive
pepsico,pepsico.com,1965,food & beverages
target,target.com,1962,retail
shell,shell.com,1833,oil & energy
hcl technologies,hcltech.com,1991,information technology and services
ups,ups.com,1907,transportation/trucking/railroad
pfizer,pfizer.com,1848,pharmaceuticals
unilever,unilever.com,1872,consumer goods
nestlé,nestle.com,1866,food & beverages
unitedhealth group,unitedhealthgroup.com,1980,hospital & health care
huawei technologies,huawei.com,1987,telecommunications
dell,dell.com,1984,information technology and services
gsk,gsk.com,1830,pharmaceuticals
honeywell,honeywell.com,1985,electrical/electronic manufacturing
sap,sap.com,1972,computer software
schlumberger,slb.com,1926,oil & energy
lockheed martin,lockheedmartin.com,1912,defense & space
"ayatama energi, trisco nusantara",,1999,design
abb,abb.com,,electrical/electronic manufacturing
american center of krasnodar,,,education management
starbucks,starbucks.com,1971,retail
promobroker agente de seguros y de fianzas s a de c v,,,insurance
morgan stanley,morganstanley.com,1935,financial services
the home depot,homedepot.com,1977,retail
independiente,ailinsemprini.com.ar,,photography
novartis,novartis.com,1996,pharmaceuticals
johnson & johnson,jnj.com,1887,hospital & health care
bp,bp.com,1909,oil & energy
schneider electric,schneider-electric.com,1836,electrical/electronic manufacturing
state farm,statefarm.com,1922,insurance
secretaría de educación pública,sep.gob.mx,,government administration
dhl,dhl.com,1969,logistics and supply chain
my home,andyross.net,,publishing
td,td.com,1955,banking
ge,ge.com,1892,electrical/electronic manufacturing
philips,philips.com,1891,hospital & health care
ubs,ubs.com,1862,financial services
procter & gamble,pg.com,1837,consumer goods
walgreens,walgreens.com,1901,retail
"keller williams realty, inc.",kw.com,1983,real estate
"lowe's companies, inc.",lowes.com,1946,retail
verbum traducción y edición,,,translation and localization
united states marine corps,marines.com,,military
dell emc,dellemc.com,1979,information technology and services
tech mahindra,techmahindra.com,1986,information technology and services
verizon wireless,verizonwireless.com,2000,telecommunications
sanofi,sanofi.com,,pharmaceuticals
bnp paribas,bnpparibas.com,1848,banking
sodexo,sodexo.com,1966,facilities services
deutsche bank,db.com,1870,investment banking
tencent,tencent.com,1998,internet
j.p. morgan,jpmorgan.com,,financial services
verizon,verizon.com,1983,information technology and services
l'oréal,loreal.com,,cosmetics
kpmg,kpmg.com,1987,accounting
orange,orange.com,1988,telecommunications
linkedin,linkedin.com,2003,internet
barclays,barclays.com,,financial services
facebook,facebook.com,2004,internet
northrop grumman corporation,northropgrumman.com,1939,defense & space
fca fiat chrysler automobiles,fcagroup.com,1925,automotive
adp,adp.com,1949,human resources
medtronic,medtronic.com,1949,medical devices
abbott,abbott.com,1980,hospital & health care
chevron,chevron.com,1879,oil & energy
roche,roche.com,1896,biotechnology
american express,americanexpress.com,1850,financial services
samsung electronics,samsung.com,1938,electrical/electronic manufacturing
macy's,macysjobs.com,1858,retail
thomson reuters,tr.com,2008,information technology and services
ministerio de educación,,,education management
avon,avoncompany.com,1886,cosmetics
cgi,cgi.com,1976,information technology and services
cvs health,cvshealth.com,1963,pharmaceuticals
halliburton,halliburton.com,1919,oil & energy
atos,atos.net,1997,information technology and services
pcs informatica,padulahodkin.com,,information technology and services
ge healthcare,gehealthcare.com,1892,hospital & health care
csc,csc.com,1959,information technology and services
merck,merck.com,1891,pharmaceuticals
kpmg,beaconpartners.com,,financial services
banco santander,santander.com,1857,banking
scotiabank,scotiabank.com,1832,banking
dxc technology,dxc.technology,2017,information technology and services
johnson controls,johnsoncontrols.com,1885,mechanical or industrial engineering
posteamos.com,posteamos.com,2012,broadcast media
allstate,al.st,1931,insurance
petrobras,petrobras.com.br,1953,oil & energy
credit suisse,credit-suisse.com,1856,banking
telefónica,telefonica.com,1924,telecommunications
marriott international,marriott.com,1927,hospitality
axa,axa.com,,insurance
3m health care,3m.com,1902,mechanical or industrial engineering
standard chartered bank,sc.com,,banking
xerox,xerox.com,1906,information technology and services
cbre,cbre.com,,real estate
nyc department of education,nyc.gov,,education management
goldman sachs,goldmansachs.com,1869,investment banking
fidelity investments,fidelity.com,1946,financial services
icici bank,icicibank.com,1994,banking
exxonmobil,exxonmobil.com,1999,oil & energy
t-mobile,tmobile.com,2002,telecommunications
aon,aon.com,1987,financial services
royal bank of scotland,rbs.com,,banking
astrazeneca,astrazeneca.com,1999,pharmaceuticals
nike,nike.com,1972,sporting goods
basf,basf.com,1865,chemicals
hdfc bank,hdfcbank.com,1994,banking
best buy,bestbuy.com,1966,retail
american airlines,aa.com,1930,airlines/aviation
baker hughes,bhge.com,,oil & energy
the coca-cola company,coca-colacompany.com,1892,food & beverages
genpact,genpact.com,1997,information technology and services
jll,jll.com,,commercial real estate
rbc,rbc.com,1864,banking
u.s. bank,usbank.com,,banking
larsen & toubro,larsentoubro.com,,construction
continental,continental-corporation.com,1871,automotive
pnc,pnc.com,2014,financial services
sprint,sprint.com,1899,telecommunications
saudi aramco,saudiaramco.com,1933,oil & energy
g4s,g4s.com,1901,security and investigations
airbus,airbusgroup.com,2014,aviation & aerospace
capital one,capitalone.com,1994,financial services
delta air lines,delta.com,1928,airlines/aviation
carrefour,carrefour.fr,,supermarkets
ninguna,networkingchats.com,,"health, wellness and fitness"
merrill lynch,ml.com,1914,financial services
mondelēz international,mondelezinternational.com,1903,food production
bt,btplc.com,1981,telecommunications
h&m,hm.com,1947,retail
anz,anz.com,1835,banking
farmers insurance,farmers.com,1928,insurance
aecom,aecom.com,1990,civil engineering
united states department of defense,defense.gov,1947,military
metlife,metlife.com,1868,insurance
total,total.com,1924,oil & energy
ikea group,ikea.com,,retail
cargill,cargill.com,1865,food production
bae systems,baesystems.com,1999,defense & space
united airlines,united.com,1926,airlines/aviation
lavoratore indipendente,,,medical practice
mary kay inc.,marykay.com,1963,cosmetics
liberty mutual insurance,libertymutualgroup.com,1912,insurance
comcast,comcast.com,1963,media production
caterpillar inc.,caterpillar.com,1925,machinery
jacobs,jacobs.com,1947,construction
bny mellon,bnymellon.com,,financial services
raytheon,raytheon.com,1922,defense & space
société générale,societegenerale.com,1864,banking
eli lilly and company,lilly.com,1876,pharmaceuticals
hp,hp.com,,information technology and services
eskom,eskom.co.za,1923,utilities
school,school-shop.fr,,textiles
uber,uber.com,2009,internet
lloyds banking group,lloydsbankinggroup.com,,financial services
kroger,thekrogerco.com,1883,retail
thermo fisher scientific,thermofisher.com,1956,research
renault,renault.com,,automotive
nhs trust,nhs.net,,hospital & health care
willis towers watson,willistowerswatson.com,1828,financial services
hospital universitario josep trueta,scsalud.es,,"health, wellness and fitness"
aig,aig.com,1919,insurance
state bank of india,sbi.co.in,1806,banking
fedex express,fedex.com,1973,package/freight delivery
novo nordisk,novonordisk.com,1923,pharmaceuticals
mynet,mynet.com,1999,internet
vale,vale.com,1942,mining & metals
itaú unibanco,itau.com.br,1945,banking
h&r block,hrblock.com,1955,retail
sncf,sncf.com,1938,transportation/trucking/railroad
social security administration,socialsecurity.gov,1935,government administration
"bright futures, a college and career management company",,,mental health care
costco wholesale,costco.com,1983,retail
thales,thalesgroup.com,2015,defense & space
convergys,convergys.com,1998,outsourcing/offshoring
ministry of education,mogaisrael.com,,design
tesco plc,tescoplc.com,1919,retail
iqvia,iqvia.com,2016,hospital & health care
salesforce,salesforce.com,1999,internet
edf,edf.fr,1946,oil & energy
prefeitura municipal,raffanti.net,,information technology and services
the dow chemical company,dow.com,1897,chemicals
forza silicon,vandjassociates.com,,human resources
hilton worldwide,stayhgi.com,1919,hospitality
los angeles unified school district,lausd.net,1853,education management
army national guard,nationalguard.com,,military
nordstrom,nordstrom.com,1901,retail
lifespan,lifespan.org,1994,hospital & health care
fedex,,1973,package/freight delivery
edward jones,edwardjones.com,1922,financial services
particular,demelon.net,,computer software
travelers,travelers.com,1853,insurance
fresher,student.org.il,,education management
boehringer ingelheim,boehringer-ingelheim.com,1885,pharmaceuticals
state street,statestreet.com,,financial services
private,lesliestreet.cz,2010,professional training & coaching
the walt disney company,disneycareers.com,1923,entertainment
nielsen,nielsen.com,,information services
emirates,emirates.com,1985,airlines/aviation
lg electronics,lg.com,1947,consumer electronics
bombardier,bombardier.com,1967,aviation & aerospace
herbalife,herbalife.com,1980,"health, wellness and fitness"
northwestern mutual,northwesternmutual.com,1857,financial services
valeo,valeo.com,1923,automotive
eaton,eaton.com,1911,electrical/electronic manufacturing
aflac,aflac.com,1955,insurance
united nations,un.org,1945,international affairs
flextronics,flex.com,,electrical/electronic manufacturing
standard bank group,standardbank.com,1862,financial services
subway,subway.com,1965,restaurants
mayo clinic,mayoclinic.org,,hospital & health care
booz allen hamilton,boozallen.com,1914,management consulting
allianz,allianz.com,1890,financial services
telstra,telstra.com,1901,telecommunications
qualcomm,qualcomm.com,1985,wireless
john deere,johndeere.com,1837,machinery
aetna,aetna.com,1853,insurance
enterprise rent-a-car,enterprise.com,1957,automotive
bristol-myers squibb,bms.com,1887,pharmaceuticals
alberta health services,albertahealthservices.ca,2008,hospital & health care
us department of homeland security,dhs.gov,2003,government administration
commonwealth bank,commbank.com.au,1911,financial services
new york life insurance company,newyorklife.com,1845,financial services
siemens healthcare,,,hospital & health care
cibc,cibc.com,1867,banking
adidas,adidas.com,1949,sporting goods
weatherford,weatherford.com,1987,oil & energy
fluor corporation,fluor.com,1912,construction
